sensor,row,column
120,0,10
151,1,12
119,1,11
88,1,10
89,1,9
121,1,8
150,2,13
118,2,12
87,2,11
60,2,10
61,2,9
90,2,8
122,2,7
149,3,14
117,3,13
86,3,12
59,3,11
36,3,10
37,3,9
62,3,8
91,3,7
123,3,6
194,4,17
175,4,16
148,4,15
116,4,14
85,4,13
58,4,12
35,4,11
18,4,10
19,4,9
38,4,8
63,4,7
92,4,6
152,4,5
176,4,4
247,5,20
227,5,19
193,5,18
174,5,17
147,5,16
115,5,15
84,5,14
57,5,13
34,5,12
17,5,11
4,5,10
5,5,9
20,5,8
39,5,7
64,5,6
93,5,5
125,5,4
153,5,3
177,5,2
211,5,1
228,5,0
246,6,20
226,6,19
192,6,18
173,6,17
146,6,16
114,6,15
83,6,14
56,6,13
33,6,12
16,6,11
3,6,10
6,6,9
21,6,8
40,6,7
65,6,6
94,6,5
126,6,4
154,6,3
178,6,2
212,6,1
229,6,0
245,7,19
210,7,18
172,7,17
145,7,16
113,7,15
82,7,14
55,7,13
32,7,12
15,7,11
2,7,10
7,7,9
22,7,8
41,7,7
66,7,6
95,7,5
127,7,4
155,7,3
195,7,2
230,7,1
244,8,19
209,8,18
171,8,17
144,8,16
112,8,15
81,8,14
54,8,13
31,8,12
14,8,11
1,8,10
8,8,9
23,8,8
42,8,7
67,8,6
96,8,5
128,8,4
156,8,3
196,8,2
231,8,1
243,9,19
208,9,18
170,9,17
143,9,16
111,9,15
80,9,14
53,9,13
30,9,12
13,9,11
0,9,10
9,9,9
24,9,8
43,9,7
68,9,6
97,9,5
129,9,4
157,9,3
197,9,2
232,9,1
225,10,18
191,10,17
142,10,16
110,10,15
79,10,14
52,10,13
29,10,12
12,10,11
11,10,10
10,10,9
25,10,8
44,10,7
69,10,6
98,10,5
130,10,4
179,10,3
213,10,2
169,11,16
141,11,15
109,11,14
78,11,13
51,11,12
28,11,11
27,11,10
26,11,9
45,11,8
70,11,7
99,11,6
131,11,5
158,11,4
190,12,17
168,12,16
140,12,15
108,12,14
77,12,13
50,12,12
49,12,11
48,12,10
47,12,9
46,12,8
71,12,7
100,12,6
132,12,5
159,12,4
180,12,3
224,13,18
207,13,17
189,13,16
167,13,15
139,13,14
107,13,13
76,13,12
75,13,11
74,13,10
73,13,9
72,13,8
101,13,7
133,13,6
160,13,5
181,13,4
198,13,3
214,13,2
242,14,18
223,14,17
206,14,16
188,14,15
166,14,14
138,14,13
106,14,12
105,14,11
104,14,10
103,14,9
102,14,8
134,14,7
161,14,6
182,14,5
199,14,4
215,14,3
233,14,2
241,15,16
222,15,15
205,15,14
187,15,13
165,15,12
137,15,11
136,15,10
135,15,9
162,15,8
183,15,7
200,15,6
216,15,5
234,15,4
240,16,15
221,16,14
204,16,13
186,16,12
164,16,11
163,16,10
184,16,9
201,16,8
217,16,7
235,16,6
220,17,12
203,17,11
185,17,10
202,17,9
218,17,8
239,18,11
219,18,10
236,18,9
238,19,11
237,19,10
